Volatility 3 Framework 2.27.0

Plugin	Description	Created Date	Modified Date	Accessed Date	Changed Date

ThrdScan	Thread: Tid 12 in Pid 4 (Offset 106464032)	1601-01-01 00:00:03.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 16 in Pid 4 (Offset 106638160)	1601-01-01 00:00:03.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 20 in Pid 4 (Offset 106867536)	1601-01-01 00:00:03.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 12 in Pid 4 (Offset 275427702113056)	1601-01-01 00:00:03.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 16 in Pid 4 (Offset 275427702287184)	1601-01-01 00:00:03.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 20 in Pid 4 (Offset 275427702516560)	1601-01-01 00:00:03.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 12 in Pid 4 (Offset 106464032)	1601-01-01 00:00:03.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 16 in Pid 4 (Offset 106638160)	1601-01-01 00:00:03.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 20 in Pid 4 (Offset 106867536)	1601-01-01 00:00:03.000000 UTC	N/A	N/A	N/A
Threads	Thread: Tid 12 in Pid 4 (Offset 275427702113056)	1601-01-01 00:00:03.000000 UTC	N/A	N/A	N/A
Threads	Thread: Tid 16 in Pid 4 (Offset 275427702287184)	1601-01-01 00:00:03.000000 UTC	N/A	N/A	N/A
Threads	Thread: Tid 20 in Pid 4 (Offset 275427702516560)	1601-01-01 00:00:03.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 172 in Pid 4 (Offset 105585488)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 32 in Pid 4 (Offset 105764192)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 96 in Pid 4 (Offset 105844800)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 100 in Pid 4 (Offset 105847632)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 48 in Pid 4 (Offset 105853296)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 44 in Pid 4 (Offset 105854560)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 40 in Pid 4 (Offset 105855824)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 136 in Pid 4 (Offset 105968528)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 168 in Pid 4 (Offset 105972608)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 140 in Pid 4 (Offset 106003280)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 112 in Pid 4 (Offset 106035440)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 144 in Pid 4 (Offset 106086464)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 148 in Pid 4 (Offset 106088336)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 36 in Pid 4 (Offset 106122064)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 156 in Pid 4 (Offset 106154832)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 160 in Pid 4 (Offset 106163024)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 88 in Pid 4 (Offset 106176576)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 92 in Pid 4 (Offset 106179408)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 164 in Pid 4 (Offset 106202192)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 116 in Pid 4 (Offset 106205392)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 120 in Pid 4 (Offset 106236752)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 124 in Pid 4 (Offset 106351440)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 64 in Pid 4 (Offset 106405952)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 72 in Pid 4 (Offset 106407520)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 68 in Pid 4 (Offset 106408784)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 52 in Pid 4 (Offset 106434624)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 60 in Pid 4 (Offset 106436192)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 56 in Pid 4 (Offset 106437456)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 24 in Pid 4 (Offset 106552144)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 184 in Pid 4 (Offset 106570400)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 180 in Pid 4 (Offset 106571664)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 76 in Pid 4 (Offset 106577984)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 188 in Pid 4 (Offset 106594368)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 84 in Pid 4 (Offset 106664560)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 80 in Pid 4 (Offset 106665824)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 28 in Pid 4 (Offset 106695504)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 128 in Pid 4 (Offset 106752848)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 24 in Pid 4 (Offset 275427702201168)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 28 in Pid 4 (Offset 275427702344528)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 32 in Pid 4 (Offset 275427701413216)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 36 in Pid 4 (Offset 275427701771088)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 40 in Pid 4 (Offset 275427701504848)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 44 in Pid 4 (Offset 275427701503584)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 48 in Pid 4 (Offset 275427701502320)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 52 in Pid 4 (Offset 275427702083648)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 56 in Pid 4 (Offset 275427702086480)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 60 in Pid 4 (Offset 275427702085216)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 64 in Pid 4 (Offset 275427702054976)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 68 in Pid 4 (Offset 275427702057808)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
